,msd_id,echo_nest_id,artist,title,year,peak,weeks
242,TRELUQI128F931B5EB,SOXRHZG12AB01870F4,R. Dean Taylor,Indiana Wants Me,1970,15,5
243,TRYJGQU128F9310F86,SOKUQMS12A6D4F9CDF,R. Dean Taylor,Indiana Wants Me,1970,15,5
244,TRMRHTW128F9305276,SOHGROC12AB0184F2A,Wham!,Wake Me Up Before You Go-Go,1984,24,1
245,TRLEEUP12903CE26AF,SODXVOI12A58A7BB4F,Wham!,Wake Me Up Before You Go-Go,1984,24,1
246,TRMRCKZ128F422B8B9,SOWRJXC12A6D4FAF26,Aaron Hall,Don't Be Afraid,1991,16,44
247,TRQPRPU128E078E800,SOYYVAN12A6701DF02,Aaron Hall,Don't Be Afraid,1991,16,44
248,TRYZZBD128E078E803,SOVPCUM12A6701DF05,Aaron Hall,Don't Be Afraid,1991,16,44
249,TRYAIAS128E078E804,SORVWVI12A6701DF06,Aaron Hall,Don't Be Afraid,1991,16,44
250,TRMRFAW128F92F14C0,SOUPFBM12A8C1411C5,The Gentrys,Keep On Dancing,1987,13,4
251,TRFSHYV12903CD732D,SOXRYLV12A8C1411AC,The Gentrys,Keep On Dancing,1987,13,4
252,TRMRZAS128F92F2645,SOCOGWU12AB017F6F4,Teena Marie,Square Biz,1981,13,50
