,msd_id,echo_nest_id,artist,title,peak,weeks
37,TRDSOOD128F429E94B,SOGZINP12A8C13D654,Eddy Arnold,Make The World Go Away,14,6
38,TRMWWHN128F426758F,SOLOYAW12A8C138063,Atlanta Rhythm Section,Spooky,14,17
39,TRASCFR128F427E9B1,SOMZVGU12A8C13D3EF,Atlanta Rhythm Section,Spooky,14,17
40,TREKVBR128F145E748,SOZNNSP12A6D4F8109,Atlanta Rhythm Section,Spooky,14,17
41,TRMWWOG128F9312B0F,SOADMPA12AB018737C,Wayne Newton,Years,13,35
42,TRMWGCP128F145841D,SOUQHTP12A6D4F7E73,Maxi Priest,Wild World,18,25
43,TRSBWUX128F14585AC,SOKXDOD12A6D4F78D1,Maxi Priest,Wild World,18,25
44,TRXBEKR128E0788DC8,SOXHUFQ12A670209F7,Maxi Priest,Wild World,18,25
45,TRMWBBX128F930100E,SOMNSXV12A8C14184B,Jody Reynolds,Endless Sleep,6,17
46,TRJJWQF12903CD4E25,SOVKHEU12A58A79345,Jody Reynolds,Endless Sleep,6,17
47,TRKCDMB12903CD74E0,SOOGHEV12AB0187FBE,Jody Reynolds,Endless Sleep,6,17
48,TRMWQWJ128F425A43C,SOBVNFB12A8AE47215,Annie Lennox,Why,20,34
49,TRMWZVX12903CE4EE3,SOFOSAP12A8C13AAD8,The Troggs,Wild Thing,11,1
50,TRBAKTC128F93358D6,SOZWPYW12A6701CE23,The Troggs,Wild Thing,11,1
51,TRQZFHF12903CDF84C,SOZTJKZ12A3F1EACFE,The Troggs,Wild Thing,11,1
52,TRZMUFW128F9309678,SOOKMRW12A582A27CD,The Troggs,Wild Thing,11,1
53,TRNOCSI12903CC5DFB,SODDXKK12A6701F09D,The Troggs,Wild Thing,11,1
54,TRMWTDT128F9341FB2,SOLCKPL12AB018488F,Foo Fighters,DOA,12,68
55,TRLPCKY128F42ACFB8,SOUBTIQ12A8C13E39A,Foo Fighters,DOA,12,68
56,TREYOXS128F42AF3E2,SOKYPQN12AF72A1F53,Foo Fighters,DOA,12,68
57,TRMWUXD128E0794FA9,SODKTBI12AF72A495A,Sting,Englishman In New York,4,84
58,TRMWJGD128F14570E2,SOTRBLC12A58A7D18E,Helen Reddy,Ain't No Way To Treat A Lady,16,8
59,TRMWDDD128F92E1ECF,SOFVBVA12A8AE484E7,Will Young,Leave Right Now,81,81
60,TRMWOJA128F148C010,SOBMXKJ12A6D4F8297,Onyx,Throw Ya Gunz,3,81
61,TRMWOEB128F426AB59,SOTYJNI12D021B3C4C,Roy Orbison,Crying,16,2
62,TRPWQUO12903CD9A5A,SOMBUSW12D021B3214,Roy Orbison,Crying,16,2
63,TRMWXCU128F932F633,SOGDSXV12A8C1421E9,Santana,Evil Ways,13,9
64,TRIOXQC128F9311A0D,SOSEVMN12AF72A0EC5,Santana,Evil Ways,13,9
65,TRYQVKS128F4259A11,SOXVXZS12AF72ABF9F,Santana,Evil Ways,13,9
66,TRMWXEM128F429D851,SOYNWBC12A8C13E6AD,The Mamas & The Papas,Do You Wanna Dance,5,76
67,TRHFZYD128E078A344,SORMZCI12A6D4F9D4E,The Mamas & The Papas,Do You Wanna Dance,5,76
68,TREWMNP128E07918DF,SOBIQTX12A6310D7C6,The Mamas & The Papas,Do You Wanna Dance,5,76
69,TRMWYUT128F426A835,SOEHVLQ12A8C134E88,Boston,More Than A Feeling,19,5
70,TRMPEEV128F42BB91B,SOYZGFI12A8C137573,Boston,More Than A Feeling,19,5
71,TRGNOKI128F425D5A8,SOYPYOT12A8AE47DEF,Boston,More Than A Feeling,19,5
72,TRFTYHU128F92DF69A,SOWBAFC12A8C143A7E,Boston,More Than A Feeling,19,5
73,TRZVYHZ128F92F278A,SOGKLRF12A8C135B5E,Boston,More Than A Feeling,19,5
74,TRIERBF12903CCDB01,SOHWDKC12A8C141A05,Boston,More Than A Feeling,19,5
75,TRNKXQU128F4270911,SOFVZJB12A8AE45278,Boston,More Than A Feeling,19,5
76,TRUSYHF128F4264FE2,SOBDKYF12A8C133CA5,Boston,More Than A Feeling,19,5
77,TRVUXYR128F92FC6D9,SOJIZXT12A8C143A12,Boston,More Than A Feeling,19,5
78,TRDOXVN12903CD0B3D,SOFZITL12A8C1392E7,Boston,More Than A Feeling,19,5
79,TRYSFAY12903CECB7D,SONIAKP12A8C130514,Boston,More Than A Feeling,19,5
80,TRMGMJL128F427E90E,SOVVSAI12D021931C3,Luther Vandross,Heaven Knows,3,94
81,TRMGWBO128F428A374,SOJPMXC12A58A7C2BA,Martina McBride,Blessed,20,31
82,TRMGHDK128F42891A9,SOUJMOE12A8C138654,A Flock Of Seagulls,Space Age Love Song,18,30
83,TRPLKPM128F42A631E,SOODQGR12AF729FA52,A Flock Of Seagulls,Space Age Love Song,18,30
84,TRMGRML128F425E8B0,SOODVRS12CF5F870B2,Britney Spears,Break The Ice,17,43
85,TRFWAXG128F92F3FFF,SOVBSAC12AAF3B1E01,Britney Spears,Break The Ice,17,43
86,TRAODGF128F92F3FF9,SOSCFCE12AAF3B1DE5,Britney Spears,Break The Ice,17,43
87,TRLHEVM128F9323439,SOZNLXG12AB0180FF1,Britney Spears,Break The Ice,17,43
88,TRMGFHZ128F92F7484,SOGCPCH12AB0180875,Bobby Vee,Rubber Ball,14,6
89,TRCAVRT12903CCC673,SODSFZN12AB0186857,Bobby Vee,Rubber Ball,14,6
90,TRPZZWU128F1459680,SOJNPJP12A6D4F759A,Bobby Vee,Rubber Ball,14,6
91,TRUYRLF12903C973F3,SOAEPTM12AB0187101,Bobby Vee,Rubber Ball,14,6
92,TRMGQBY128F1474B22,SOTGTJV12A6D4F8B4E,Jr. Walker & The All Stars,Cleo's Back,8,43
93,TRUEKUE128F932280B,SOCWCTH12A58A7AAC1,Jr. Walker & The All Stars,Cleo's Back,8,43
94,TRMGQWD128F4269F46,SOHVUZY12A8C133AA1,Bone Thugs-N-Harmony,Tha Crossroads,20,1
95,TRMGAHV128F14580A5,SOPDSCU12A58A7BFEF,Freddie Mercury,Love Kills,6,69
96,TRMGPEE128F4288A71,SOGVBTG12A8C13F799,Ann Peebles,I Can't Stand The Rain,21,38
97,TRAFOOJ128F92E73A4,SODGTDQ12AAF3B477A,Ann Peebles,I Can't Stand The Rain,21,38
98,TRNQDNS128F92D146F,SOBYMHJ12A8C141F62,Ann Peebles,I Can't Stand The Rain,21,38
99,TRDWOPL128F92CFEB0,SOGUEBL12A8C141FF6,Ann Peebles,I Can't Stand The Rain,21,38
100,TRMGTWK128F4271E2C,SOQXHYA12A8C1344C5,Sophie B. Hawkins,Damn I Wish I Was Your Lover,21,5
101,TRGRQST12903D0509E,SOECLMJ12AB0182311,Sophie B. Hawkins,Damn I Wish I Was Your Lover,21,5
102,TRCCOZQ128F426665E,SOHYZWF12A8C13310D,Sophie B. Hawkins,Damn I Wish I Was Your Lover,21,5
103,TRMGSBN128F931A062,SOHRGZX12AB0182E6F,Frankie Goes To Hollywood,Relax,23,10
104,TRQKITP128F428E430,SOQVBCG12A58A7BF9F,Frankie Goes To Hollywood,Relax,23,10
105,TRZWJEQ128F428E03D,SOJLRPG12A8C139C37,Frankie Goes To Hollywood,Relax,23,10
106,TRZVSIO128F428E536,SOZFYTZ12AB018565D,Frankie Goes To Hollywood,Relax,23,10
107,TRLEFXF128F428E555,SOIHABE12A8C13D492,Frankie Goes To Hollywood,Relax,23,10
108,TRJKGWS128F428E544,SOMOCZT12A8C13C443,Frankie Goes To Hollywood,Relax,23,10
109,TRSQKHQ128F428E03C,SOFEVEK12A8C139C35,Frankie Goes To Hollywood,Relax,23,10
110,TRDVDOS128F9319F41,SOZXIAK12AB017DB74,Frankie Goes To Hollywood,Relax,23,10
111,TRONPUY128F428E566,SORFQTT12A8C13D4DD,Frankie Goes To Hollywood,Relax,23,10
112,TRXSXIE128F931A05B,SOJKHAN12AB017DB7B,Frankie Goes To Hollywood,Relax,23,10
113,TRKKCXB128F428E03B,SOLFYXW12A8C139C34,Frankie Goes To Hollywood,Relax,23,10
114,TRYLMXO128F9319F33,SOIRLWV12AB01822AD,Frankie Goes To Hollywood,Relax,23,10
115,TRMGSBG128F429F025,SOWAHPT12A8C13CCA0,George McCrae,Rock Your Baby,17,1
116,TRZVNEM128EF351A49,SOCJYXH12A6D223C21,George McCrae,Rock Your Baby,17,1
117,TRNOAGG12903CBB894,SOUSTWQ12AB01896F9,George McCrae,Rock Your Baby,17,1
118,TRPPERL128F146143C,SOJJBXY12A6D4F7A61,George McCrae,Rock Your Baby,17,1
119,TREXNMH12903CDEFAA,SOPLBTJ12AB0189735,George McCrae,Rock Your Baby,17,1
120,TRJLCUH128F93200CD,SOQRXGL12A58A7E9E5,George McCrae,Rock Your Baby,17,1
121,TROYCHH12903CBB886,SOUJGOU12AB01896DC,George McCrae,Rock Your Baby,17,1
122,TRKZUHX128F930DCA1,SORDDZK12AB0180B7A,George McCrae,Rock Your Baby,17,1
123,TRMGXPF128F145678C,SOSHFXW12A6D4F7A44,Shai,Comforter,24,10
124,TRMGYVB128F9322818,SOPNLBP12AB0187939,Jr. Walker & The All Stars,Way Back Home,9,52
125,TRRBKZR128F932F32E,SOYMCXI12AB0183296,Jr. Walker & The All Stars,Way Back Home,9,52
126,TRFVCSR128F146E2CC,SOVUQYH12A6D4F8193,Jr. Walker & The All Stars,Way Back Home,9,52
127,TRYDISQ128F932F330,SONLRBA12AB01846CB,Jr. Walker & The All Stars,Way Back Home,9,52
128,TRMGYEC128F14A2B40,SOKFJDC12A6D4FB161,The Doobie Brothers,What A Fool Believes,20,1
129,TRMHWMW128F4242DE6,SONXVIY12A8C134EA9,Toby Keith,Country Comes To Town,15,54
130,TRJQQCF128F148CF1B,SOTRZOM12CF5CFD674,Toby Keith,Country Comes To Town,15,54
131,TRMHWDO128F931C671,SOHAAGT12AB018101C,The Yardbirds,Over Under Sideways Down,11,13
132,TRAOSHM128F930DDA0,SOZGVWT12AB018174A,The Yardbirds,Over Under Sideways Down,11,13
133,TRXDACZ128F426CFA8,SORTEVC12A8C136195,The Yardbirds,Over Under Sideways Down,11,13
134,TRMHWMV12903D10BC9,SOFQKUE12AC468E22B,Sir Douglas Quintet,Mendocino,15,27
135,TRMHWRC12903CEDC11,SOPZSJQ12A58A7B69B,The Crests,Six Nights A Week,13,28
136,TRMHWMG128F428A57B,SODTKRU12A8C139C75,Lorne Greene,Ringo,12,1
137,TRMHGPF128F426BE7F,SONMWXV12AB01803B4,Jonas Brothers,Year 3000,9,31
138,TRMHGEW12903CC1516,SOKGRCB12A8C14135B,First Class,Beach Baby,17,4
139,TRRCVPK128F935A33B,SONNXHG12AB018B97D,First Class,Beach Baby,17,4
140,TRRXLJG128F92DF650,SOVVTNH12A8C1456F3,First Class,Beach Baby,17,4
141,TRJZDCB128F92D0B19,SOYBFAM12A8C141C92,First Class,Beach Baby,17,4
142,TROWBAC12903D057B3,SONOIDE12AC4689820,First Class,Beach Baby,17,4
143,TRMHHKC12903CF47E4,SOIHTFQ12AC960A19E,Zapp & Roger,Slow And Easy,20,43
144,TRMHCJO128F424A38B,SOZZBBH12A8C133B6D,Sammi Smith,I've Got To Have You,7,77
145,TRBOCBM12903CB55CF,SOFLNZB12AB018D2D8,Sammi Smith,I've Got To Have You,7,77
146,TRMHFMC128F425D630,SOMMOJQ12AF72A1D07,Tammy Wynette,Stand By Your Man,16,19
147,TRFNZMP128F42796B3,SOOSFAQ12A58A79BBD,Tammy Wynette,Stand By Your Man,16,19
148,TRACLRS12903CE9386,SOLHVZC12A8C14307F,Tammy Wynette,Stand By Your Man,16,19
149,TRMHQXM128F92F2E8E,SOEYBJZ12AF729C4E3,Will Smith Featuring Dru Hill & Kool Mo Dee,Wild Wild West,17,1
150,TRBBEBZ128F426B298,SOGVHFF12A8C134C3A,Will Smith Featuring Dru Hill & Kool Mo Dee,Wild Wild West,17,1
151,TRMHIBW128F42AF9CF,SONGPYO12A58A7A419,Charley Pride,I Can't Believe That You've Stopped Loving Me,6,71
152,TRLLKSO128F428BA16,SOTKWQU12A8C138D42,Charley Pride,I Can't Believe That You've Stopped Loving Me,6,71
153,TRSKJXK128F428D4DE,SOWLPYT12A8C139206,Charley Pride,I Can't Believe That You've Stopped Loving Me,6,71
154,TRMHSMC128F4270AC4,SOHYUXD12A8C13495D,The Intruders,(We'll Be) United,6,78
155,TROTSES128F42722E3,SOOTKWS12A8C13643D,The Intruders,(We'll Be) United,6,78
156,TRMHDLB128F148BF08,SOBYDHI12A6D4F8232,Rihanna,Unfaithful,20,6
157,TRMATXT128F147B2A9,SOESTAK12A6D4F5819,Rihanna,Unfaithful,20,6
158,TRMYAMQ128F933A9B6,SONZHOB12A8C13DCF1,Rihanna,Unfaithful,20,6
159,TRQJVND128F1480963,SOENOTV12A6D4F84FB,Rihanna,Unfaithful,20,6
160,TRTSIVY128F933A9AA,SOGYRGC12AB0182E32,Rihanna,Unfaithful,20,6
161,TRSOZUD128F1481972,SOVDCEP12A6D4F7FF8,Rihanna,Unfaithful,20,6
162,TRYJOFC128F42A80C1,SOBPXVM12A8C13CC29,Rihanna,Unfaithful,20,6
163,TRMHXBU128F932A16D,SOPKTEV12A8C141E33,Jonas Brothers,Burnin' Up,16,5
164,TRVOAPO128F93098CE,SOOOMAH12AB0184C49,Jonas Brothers,Burnin' Up,16,5
165,TRMHXUO128F9322178,SODYJYD12AB01855E3,Sneaker Pimps,6 Underground,22,45
166,TRWFNPO128F9322176,SOMOKUU12AB01855DE,Sneaker Pimps,6 Underground,22,45
167,TRGRVTF128F92FD4B5,SOMGGVU12AB0181A65,Sneaker Pimps,6 Underground,22,45
168,TRCMNJL128F42B9CA2,SOJHLGL12A8C141B02,Sneaker Pimps,6 Underground,22,45
169,TRFZBDJ128F9322179,SOYJNMM12AB01855E8,Sneaker Pimps,6 Underground,22,45
170,TRNSSDL128F9322177,SOVZBIC12AB01855E0,Sneaker Pimps,6 Underground,22,45
171,TRJEVGM128F42B9CBD,SOLYMMT12A8C141B3F,Sneaker Pimps,6 Underground,22,45
172,TRDPRSF128F92F0089,SOSHQSO12A58A785B3,Sneaker Pimps,6 Underground,22,45
173,TRMHXKZ128F92EC205,SOGJWGP12AB017C1C4,Taylor Swift,Love Story,49,4
174,TRMKAVS128F92F81F8,SOBOHYB12AB0183153,Taylor Swift,Love Story,49,4
175,TRWQQUM12903CB29A4,SOEOXSO12AB01880DC,Taylor Swift,Love Story,49,4
176,TRWDQOL128F92EC1F1,SOVRDQM12A8C143954,Taylor Swift,Love Story,49,4
177,TRQWBBJ128F92FD6F7,SOMAPRO12A8C13DFDC,Taylor Swift,Love Story,49,4
178,TRTIOAY128F9322C81,SOZFJMN12AB0182A0D,Taylor Swift,Love Story,49,4
179,TRLIFLY128F92FD702,SOZRRTG12A8C143952,Taylor Swift,Love Story,49,4
180,TRSDRPY128F933E202,SOTWSXL12A8C143349,Taylor Swift,Love Story,49,4
181,TRVKNWW128F92FDD3F,SOIEYSL12AAF3B204E,Taylor Swift,Love Story,49,4
182,TROPUMP128F92EC162,SOTWSXL12A8C143349,Taylor Swift,Love Story,49,4
183,TRKSOZB12903CB52C2,SOZFJMN12AB0182A0D,Taylor Swift,Love Story,49,4
184,TRMHYFM12903CD6C17,SOCEJQC12AB018DA26,Kanye West,Stronger,27,1
185,TRHNCIR128F42334A5,SOBXHDL12A81C204C0,Kanye West,Stronger,27,1
186,TRZYGRK128F932A279,SOONJSF12AB0187C56,Kanye West,Stronger,27,1
187,TRUATNS128F423457D,SOBXHDL12A81C204C0,Kanye West,Stronger,27,1
188,TRLCDPR128F42B63BC,SOWFAZC12A8C13D4B9,Kanye West,Stronger,27,1
189,TRLYHYF128F9301D44,SORFASW12A81C22AE7,Kanye West,Stronger,27,1
190,TRSLFVA128F429F837,SOUVZKT12A8C13EF90,Kanye West,Stronger,27,1
191,TRMHYTH128F92E67EB,SOMIZXC12AB017B79C,Brad Paisley Duet With Keith Urban,Start A Band,16,55
192,TRMCWIL128F4228CE9,SOJNLRD12A6D4FEA3F,Southside Johnny & The Asbury Jukes,I'm So Anxious,4,71
193,TRMCGOG12903CDEAF8,SOESIQD12AF72A3AD6,Nina Simone,Trouble In Mind,2,92
194,TRMCGJC128E0793D73,SOGREEV12A6D4F91A6,Rainbow,Since You Been Gone,8,57
195,TRBIQPU128F429034F,SOHBJKZ12A6701C2E5,Rainbow,Since You Been Gone,8,57
196,TRSJGUU128E0784807,SOOHYTB12A6701E061,Rainbow,Since You Been Gone,8,57
197,TRMCGJQ128F14A242B,SOJGYOE12A6D4F9942,Ashley Tisdale,He Said She Said,8,58
198,TRMCHUS128F4285848,SOGMJOE12A8C137C2D,Survivor,I Can't Hold Back,23,13
199,TRMCRHR128F9309CFC,SOBNKEZ12AB0183DCC,J.J. Barnes,Real Humdinger,5,80
200,TRMCRRZ128F93428C6,SODGUUH12A6D4F9343,Manfred Mann's Earth Band,Blinded By The Light,20,1
201,TRCDDCG12903CEEF7B,SOGQPCD12AB017F327,Manfred Mann's Earth Band,Blinded By The Light,20,1
202,TRMCZPO128F427F244,SOPUWIT12A8C13839D,Bobby Vinton,L-O-N-E-L-Y,8,22
203,TRMCAWF128F42920DB,SOHXZXU12A8C13B85A,Skeeter Davis,(I Can't Help You) I'm Falling Too,7,39
204,TREUUZW128F428A1C0,SOSDBXQ12A8C138893,Skeeter Davis,(I Can't Help You) I'm Falling Too,7,39
205,TRKHABD128F92F07E2,SOJEWAH12A58A78FDE,Skeeter Davis,(I Can't Help You) I'm Falling Too,7,39
206,TRMCALU128F92D5BBF,SOVPRYM12A8C145240,Lesley Gore,Judy's Turn To Cry,11,5
207,TRDRFLI128F92C94CB,SOWNHGI12A8C141539,Lesley Gore,Judy's Turn To Cry,11,5
208,TRXRRKF128F92F120C,SODEURN12A8C14313C,Lesley Gore,Judy's Turn To Cry,11,5
209,TRMCAFT12903CDCD25,SOUBZUK12A8C142106,Darryl Worley,Sounds Like Life To Me,11,84
210,TRMCNHH12903CE393A,SOGYIIC12AB0186784,Jan & Dean,Baby Talk,12,10
211,TRAKZAD128F934A8A1,SOUZEFG12AB0183A39,Jan & Dean,Baby Talk,12,10
212,TRMCPIT128F147ADB0,SOAXAXA12A6D4F73C2,Rihanna,SOS,28,1
213,TRHTEUK128F146E6D5,SOCGTIM12D021B1834,Rihanna,SOS,28,1
214,TRCTXZB128F9310857,SOCCUCU12AB0182D45,Rihanna,SOS,28,1
215,TRCYTVT128F427F600,SOXHAAV12A8C13CD0D,Rihanna,SOS,28,1
216,TRIEDUL128F146E4CA,SOCTIAC12A8AE1ADFC,Rihanna,SOS,28,1
217,TRANZLM128F92F741E,SOAOPVN12AAF3B1856,Rihanna,SOS,28,1
218,TRXTWMH128F146E4CB,SOOTSMO12A6D4F978E,Rihanna,SOS,28,1
219,TRXXPYC128F92F2BFA,SOLADVG12D021994D4,Rihanna,SOS,28,1
220,TRMCUFM128F92E1732,SOTAWNJ12A8C13FEFC,Jean Knight,Mr. Big Stuff,16,2
221,TRWYYRS12903CBCA26,SOHDIZG12AB0188650,Jean Knight,Mr. Big Stuff,16,2
222,TRQNPXM128F4230805,SOJISMX12A81C2153D,Jean Knight,Mr. Big Stuff,16,2
223,TRPUKHD128F933855F,SOPDDNP12A8C14266F,Jean Knight,Mr. Big Stuff,16,2
224,TRJPDSF12903CDFCA7,SOMSMBM12A6D4FCB7F,Jean Knight,Mr. Big Stuff,16,2
225,TRJSYVM128F9319068,SOCVXCG12A8C138685,Jean Knight,Mr. Big Stuff,16,2
226,TRVHOZT128F92F1569,SOZVONB12A8C142674,Jean Knight,Mr. Big Stuff,16,2
227,TRMCUMJ12903CDFEC9,SOHDHSC12AB018AF14,The Rattles,The Witch,5,79
228,TRGXQKS12903C9B01D,SOJTTOY12A6D4F9808,The Rattles,The Witch,5,79
229,TRMCEZP128F429D33C,SOMJCGY12A8C13C9BC,The Brecker Brothers,Sneakin' Up Behind You,9,58
230,TRJBBSH128F92F84F6,SODWFNH12AB018022B,The Brecker Brothers,Sneakin' Up Behind You,9,58
231,TRMCJNX128F1456BE6,SODZFOT12A6D4F7340,Neil Diamond,Two-Bit Manchild,6,66
232,TRMCJFC128F92F0CE1,SOCMSHR12A58A7D57F,The Bachelors,I Wouldn't Trade You For The World,6,69
233,TRKJLTZ128F146DB7D,SORGOTP12A6D4F6BF9,The Bachelors,I Wouldn't Trade You For The World,6,69
234,TRMCOIB128E078F56C,SOSUBWD12D02193054,Etta James,My Dearest Darling,13,34
235,TRBFTHL128C7196B42,SODJRCC12D02192374,Etta James,My Dearest Darling,13,34
236,TRMCYUT128F4259E78,SOBZMOI12A8AE4827F,Sade,By Your Side,11,75
237,TRVWZET128F42A0E05,SOPXIGC12A8C13DDF9,Sade,By Your Side,11,75
238,TRMCYQJ128F426EAEC,SOKIDML12A8C13527A,The Doobie Brothers,Takin' It To The Streets,14,13
239,TRMCYKO128F42B1543,SODWRYK12A8C14085F,The Fiestas,So Fine,16,11
240,TRXCXUA128F935A345,SORAITJ12A58A811CB,The Fiestas,So Fine,16,11
241,TRMRWUH128F421C089,SOZIJOC12A6D4FD087,The Jazz Crusaders,Way Back Home,3,90
242,TRPIQAM128F931B64B,SOYFVHQ12AB0181169,The Jazz Crusaders,Way Back Home,3,90
243,TRMRWJW128F93236F7,SOVZUPF12AF72A9117,Brad Paisley,Welcome To The Future,16,42
244,TRJKXFH128F93236FB,SOQLLMJ12AB017F515,Brad Paisley,Welcome To The Future,16,42
245,TRMRWFW128F93001E3,SODBKOU12AB0180E5C,Fairground Attraction,Perfect,6,80
246,TRRTHCE128F42940EF,SOQJMIV12A8C1394C6,Fairground Attraction,Perfect,6,80
247,TRQKJFS128F425F6A7,SOKQMVU12A58A7A44F,Fairground Attraction,Perfect,6,80
248,TRMRHBY12903C9FFFD,SOVRZOW12A6D4FCB78,R. Dean Taylor,Indiana Wants Me,15,5
249,TRWHAHN128F931B5ED,SORAAQR12AB0187100,R. Dean Taylor,Indiana Wants Me,15,5
250,TRGEJHP128F93297F0,SOUPNBQ12AB0185EF6,R. Dean Taylor,Indiana Wants Me,15,5
251,TRNKJZV128F92F16A8,SOIZCGM12A8C1437BA,R. Dean Taylor,Indiana Wants Me,15,5
252,TRELUQI128F931B5EB,SOXRHZG12AB01870F4,R. Dean Taylor,Indiana Wants Me,15,5
253,TRYJGQU128F9310F86,SOKUQMS12A6D4F9CDF,R. Dean Taylor,Indiana Wants Me,15,5
254,TRMRHTW128F9305276,SOHGROC12AB0184F2A,Wham!,Wake Me Up Before You Go-Go,24,1
255,TRLEEUP12903CE26AF,SODXVOI12A58A7BB4F,Wham!,Wake Me Up Before You Go-Go,24,1
256,TRMRCKZ128F422B8B9,SOWRJXC12A6D4FAF26,Aaron Hall,Don't Be Afraid,16,44
257,TRQPRPU128E078E800,SOYYVAN12A6701DF02,Aaron Hall,Don't Be Afraid,16,44
258,TRYZZBD128E078E803,SOVPCUM12A6701DF05,Aaron Hall,Don't Be Afraid,16,44
259,TRYAIAS128E078E804,SORVWVI12A6701DF06,Aaron Hall,Don't Be Afraid,16,44
260,TRMRFAW128F92F14C0,SOUPFBM12A8C1411C5,The Gentrys,Keep On Dancing,13,4
261,TRFSHYV12903CD732D,SOXRYLV12A8C1411AC,The Gentrys,Keep On Dancing,13,4
262,TRMRZAS128F92F2645,SOCOGWU12AB017F6F4,Teena Marie,Square Biz,13,50
263,TRHFCTR128F1464062,SOQQPCX12A6D4F84C7,Teena Marie,Square Biz,13,50
264,TRQDTFQ128F145FD44,SOVGWVR12A6D4F62D1,Teena Marie,Square Biz,13,50
265,TRZLQYX128F145FD48,SOWSTYP12A6D4F62D5,Teena Marie,Square Biz,13,50
266,TRMRARB128F148CFDB,SOQQXRA12A6D4FA226,Jr. Walker & The All Stars,Cleo's Mood,6,50
